Krishna_Chait_anya,640880959,1662063989129066876,Curve Finance,1357982180
Maximo1041985,1255823079,8387884494318433097,Curve Finance,1357982180
Mir1199,1678086163,-930086274387456995,Curve Finance,1357982180
kay_lordx,1588059562,7652046185407822960,Curve Finance,1357982180
Kevven,1509787610,-6284906332329083405,Curve Finance,1357982180
Jomboking,1594920380,-7157514287512964047,Curve Finance,1357982180
Sakaullakhan12,1031636504,5749627716209339632,Curve Finance,1357982180
hong417,1208334692,2126488066692951553,Curve Finance,1357982180
,738529465,-1909402209545973598,Curve Finance,1357982180
PukpuiDefi,941084585,-4650566926156997246,Curve Finance,1357982180
,1307641412,5301475368540239158,Curve Finance,1357982180
Khkhkhkhkhkkhkhkhkhkh,485687318,6690452130639996866,Curve Finance,1357982180
Rnhodler,816438740,-9001030069875623252,Curve Finance,1357982180
Jackma1111,731007164,4650084578667875499,Curve Finance,1357982180
KarryAce,1324188185,683209608905311964,Curve Finance,1357982180
kryptocolt,1275197419,7978102133389221151,Curve Finance,1357982180
,1390724430,5082174097903429503,Curve Finance,1357982180
,958475176,-680096661393095,Curve Finance,1357982180
krypto_kurrency,895405768,6067228675998265051,Curve Finance,1357982180
mfringg,389997721,-2560238862952712263,Curve Finance,1357982180
llama_kickbot,1370607581,-281183808122754452,Curve Finance,1357982180
Tekkol,1315577241,-1177093074019553676,Curve Finance,1357982180
,1421005756,-801364120775020081,Curve Finance,1357982180
,928613169,-4874208847758189847,Curve Finance,1357982180
Khalid_MZZ,411465369,-8943224108680452759,Curve Finance,1357982180
katutz,1239802816,-979073142895159682,Curve Finance,1357982180
dsearcher,235975071,-5853257029025950251,Curve Finance,1357982180
,1221122220,672391653852147917,Curve Finance,1357982180
Krypto_Bull,802116280,-3332836571896207329,Curve Finance,1357982180
BitMart_kevin,1417076435,-2055007559334699466,Curve Finance,1357982180
,1404744229,8345540423535552235,Curve Finance,1357982180
,1397705373,1034628025277457883,Curve Finance,1357982180
,556717737,8989048781276435902,Curve Finance,1357982180
mrkevin_h,905731766,2962626855030379150,Curve Finance,1357982180
Malaclypse,63636308,4315314485415184075,Curve Finance,1357982180
,1425233760,2192142612790062210,Curve Finance,1357982180
Koussek,486622047,8455476791056201822,Curve Finance,1357982180
hsnn12345,427651566,-2972605273354774936,Curve Finance,1357982180
SteveKrusher,775089015,3753411048618869819,Curve Finance,1357982180
maxpeck01,224628726,1353546633587026261,Curve Finance,1357982180
,1000184056,-8343084557104036341,Curve Finance,1357982180
klimenta,450498719,622104032918949273,Curve Finance,1357982180
krautdawg,427565248,5204506705695601987,Curve Finance,1357982180
dennisthemenace123,364491913,-2042769217384558162,Curve Finance,1357982180
Knv9090,449822064,6804195521797593559,Curve Finance,1357982180
KateALight,1436235603,-318201848703791565,Curve Finance,1357982180
Kanenite,581711619,4784437605222311665,Curve Finance,1357982180
DozaTim,395991437,624305941511036582,Curve Finance,1357982180
Boo64000,1735233311,-8975264063679014865,Curve Finance,1357982180
JaredDevo,433092435,1851607721537573363,Curve Finance,1357982180
jimmyjimmy123,1705762559,-3030581651407464763,Curve Finance,1357982180
joedada,1761363844,7276983629615695994,Curve Finance,1357982180
JeremySetton,1700232801,6624728046707012384,Curve Finance,1357982180
Jayden0farmer,862354291,-8655153610753087491,Curve Finance,1357982180
,1981392471,4196608981458285263,Curve Finance,1357982180
johnny821012,1023987671,-8021619591703122506,Curve Finance,1357982180
,1511531917,398144459911511646,Curve Finance,1357982180
jongweiss,101218467,-3080296127780851522,Curve Finance,1357982180
JagerMario,1778234280,2874903779675548644,Curve Finance,1357982180
jacobchow,665459678,-7478860974750421607,Curve Finance,1357982180
maryjames47,1625650353,-2862261693628123891,Curve Finance,1357982180
,1346834304,1371263027810202499,Curve Finance,1357982180
,1691819386,-5612682314036207816,Curve Finance,1357982180
,1841365072,5324428210155781698,Curve Finance,1357982180
,1756884284,7932177236252005113,Curve Finance,1357982180
juan4797,1891514326,-6773630570801019828,Curve Finance,1357982180
,1934486544,-2840739355254371323,Curve Finance,1357982180
Jason_bylaxysupport,1891430260,-5087776576292299042,Curve Finance,1357982180
ControlCereal,1929160853,-5703412140085282264,Curve Finance,1357982180
,1508619882,4422157210464659125,Curve Finance,1357982180
jrv77,1015725958,-4022265653520828555,Curve Finance,1357982180
cripsyj,1613112458,-8981412170436432520,Curve Finance,1357982180
jakdevelop,1919813973,3662031038980198440,Curve Finance,1357982180
jonshih,1713050313,-2702343987372733883,Curve Finance,1357982180
jackyscott784,1904733644,-7264034218920460496,Curve Finance,1357982180
,1841102596,-4420375162804472094,Curve Finance,1357982180
joeenoob,1709711717,-5979218175553166017,Curve Finance,1357982180
,1229070992,2685377670325514501,Curve Finance,1357982180
Crypto_jolijn,1638551331,3241349650531842673,Curve Finance,1357982180
,1894564599,-4404472044008441010,Curve Finance,1357982180
Jon_0,265251340,2164869641560696761,Curve Finance,1357982180
JTBiggaFigga,1828343513,-6602903300887246571,Curve Finance,1357982180
janefur,1859859841,7538671970879565377,Curve Finance,1357982180
jberriman,409241970,-3392186308740107725,Curve Finance,1357982180
JonGabox,1278908299,5688359961132162038,Curve Finance,1357982180
Joolioo,530710677,213727414893355674,Curve Finance,1357982180
,761411059,3539219100816348246,Curve Finance,1357982180
jvper,345000743,8705555281429910101,Curve Finance,1357982180
Josuacadenceliu,1901996178,2494966686667460438,Curve Finance,1357982180
,587956303,6042930140468702572,Curve Finance,1357982180
Doorlist,1755445138,-8106536384036968449,Curve Finance,1357982180
,1811954391,3908265225586177724,Curve Finance,1357982180
jefe0014,1395890136,-728626767167386432,Curve Finance,1357982180
jihan_cointiger4,1859043637,-5201510599354825233,Curve Finance,1357982180
Deegent,1878263694,9114258902382852297,Curve Finance,1357982180
JenniferrMishra,1861984108,-3487126704193101092,Curve Finance,1357982180
,1725468175,4521312699295115150,Curve Finance,1357982180
crypto_janice,1456494796,-4267634243518379907,Curve Finance,1357982180
dojakron,665689147,-3579997057845141958,Curve Finance,1357982180
Javajim85,1668470138,1892372828300750286,Curve Finance,1357982180
,1080149350,-4411103901439238536,Curve Finance,1357982180
Jumgle3,1808272381,-1408480006401347601,Curve Finance,1357982180
jordan_dbmu,1675486610,-5111411220452059535,Curve Finance,1357982180
,1693352746,5590849886468570359,Curve Finance,1357982180
SGTies,594332440,-5799603781942817447,Curve Finance,1357982180
