,2130377242,-6286422008856396410,Sushiswap Official,1502511549
,2145541490,3704645071335618133,Sushiswap Official,1502511549
,2136187258,-500981958855784890,Sushiswap Official,1502511549
,2147153515,1196631529684427320,Sushiswap Official,1502511549
Aimee722,5061209621,-3593371974671217951,Sushiswap Official,1502511549
,2116742268,6415065840785916383,Sushiswap Official,1502511549
,2114398935,5258443664880725714,Sushiswap Official,1502511549
,2103017932,1316824302941823694,Sushiswap Official,1502511549
,2114833149,2293073409670518749,Sushiswap Official,1502511549
,2143447258,1443904956581975578,Sushiswap Official,1502511549
,5090376403,-3340687389674748524,Sushiswap Official,1502511549
,2110133964,-1545626811772737712,Sushiswap Official,1502511549
,2122656153,-50520712465623287,Sushiswap Official,1502511549
,2113471697,5661274308405404842,Sushiswap Official,1502511549
,5099292812,6166525828183322550,Sushiswap Official,1502511549
,5093187837,-351345494048845496,Sushiswap Official,1502511549
,2102700190,-8024362516657916158,Sushiswap Official,1502511549
,2108651984,3436863891607126860,Sushiswap Official,1502511549
,5018711593,-1532983625140399554,Sushiswap Official,1502511549
,2077888925,-8861560097625237400,Sushiswap Official,1502511549
Apokksu,2143334501,8078153377269755138,Sushiswap Official,1502511549
alblooshiii,2085958435,3010682519577929421,Sushiswap Official,1502511549
,2052109499,-9003658757070586241,Sushiswap Official,1502511549
,2105906314,-5980386071770543514,Sushiswap Official,1502511549
,2101595836,-4433245718141873228,Sushiswap Official,1502511549
ahmadi531qsxxc,2134290831,3396862377288049348,Sushiswap Official,1502511549
,2134804035,-5709440256909135623,Sushiswap Official,1502511549
,2145375425,476393005568727351,Sushiswap Official,1502511549
,2132208576,-5736511391763439320,Sushiswap Official,1502511549
,1932401058,8528110967465434392,Sushiswap Official,1502511549
,2128323201,8698341467368534482,Sushiswap Official,1502511549
Algernon_Berry,2127292322,-2689315517202434800,Sushiswap Official,1502511549
Andrew_boogaert,1882375157,8762113573813154762,Sushiswap Official,1502511549
,980983835,-7759512673736227317,Sushiswap Official,1502511549
,1367339555,1255549719919345286,Sushiswap Official,1502511549
Arnoldiski,1496482773,8400920365358251614,Sushiswap Official,1502511549
Aliyyah86,1939773417,1678312152156076851,Sushiswap Official,1502511549
,2050130588,4141078133829240996,Sushiswap Official,1502511549
,985401685,-4929341825777254428,Sushiswap Official,1502511549
Samimeagirbas,1385814666,-6946696975431630277,Sushiswap Official,1502511549
,2116069255,-2027638027100837895,Sushiswap Official,1502511549
,2122670382,-6849593750631902463,Sushiswap Official,1502511549
,2101714353,-100551964159872981,Sushiswap Official,1502511549
,2107572976,7588672717560204543,Sushiswap Official,1502511549
,2066799913,5815330259082032039,Sushiswap Official,1502511549
,2003833515,352244445613560686,Sushiswap Official,1502511549
,2028487976,-8000184941544089836,Sushiswap Official,1502511549
,2029648223,-4856385168472191802,Sushiswap Official,1502511549
,2052906537,6189117015999956464,Sushiswap Official,1502511549
alidahumphreys,2061210633,554636266520068460,Sushiswap Official,1502511549
,2065767932,-5090952329940011479,Sushiswap Official,1502511549
,2109394791,6257338974606960973,Sushiswap Official,1502511549
,2115060360,-7245971635196231110,Sushiswap Official,1502511549
,2120448716,1640286120119738746,Sushiswap Official,1502511549
,2131677373,-2919208420651271343,Sushiswap Official,1502511549
,2142689626,-2168039924743569094,Sushiswap Official,1502511549
,2011912200,7422215966842084030,Sushiswap Official,1502511549
,2056568738,7038032769209000918,Sushiswap Official,1502511549
,2073492853,-3251805116290276120,Sushiswap Official,1502511549
,2079499947,1492657146209711813,Sushiswap Official,1502511549
,2086008469,-6100961186101404241,Sushiswap Official,1502511549
,2093482567,-3129355462400016338,Sushiswap Official,1502511549
,2097775785,-4659488618054306021,Sushiswap Official,1502511549
,2111170864,6879100468600047727,Sushiswap Official,1502511549
,2116472019,-356594436361063760,Sushiswap Official,1502511549
,2132105043,2167423585580195355,Sushiswap Official,1502511549
